2026-07-08 06:38:58 status half-installed libcap2:amd64 1:2.66-4+deb12u2+b2
2026-07-08 06:38:58 status unpacked libcap2:amd64 1:2.66-4+deb12u3+b1
2026-07-08 06:38:58 startup packages configure
2026-07-08 06:38:58 configure libcap2:amd64 1:2.66-4+deb12u3+b1 <none>
2026-07-08 06:38:58 status unpacked libcap2:amd64 1:2.66-4+deb12u3+b1
2026-07-08 06:38:58 status half-configured libcap2:amd64 1:2.66-4+deb12u3+b1
2026-07-08 06:38:58 status installed libcap2:amd64 1:2.66-4+deb12u3+b1
2026-07-08 06:38:58 startup archives unpack
2026-07-08 06:38:58 upgrade libgcrypt20:amd64 1.10.1-3 1.10.1-3+deb12u1
2026-07-08 06:38:58 status half-configured libgcrypt20:amd64 1.10.1-3
2026-07-08 06:38:58 status unpacked libgcrypt20:amd64 1.10.1-3
2026-07-08 06:38:58 status half-installed libgcrypt20:amd64 1.10.1-3
2026-07-08 06:38:58 status unpacked libgcrypt20:amd64 1.10.1-3+deb12u1
2026-07-08 06:38:58 startup packages configure
2026-07-08 06:38:58 configure libgcrypt20:amd64 1.10.1-3+deb12u1 <none>
2026-07-08 06:38:58 status unpacked libgcrypt20:amd64 1.10.1-3+deb12u1
2026-07-08 06:38:58 status half-configured libgcrypt20:amd64 1.10.1-3+deb12u1
2026-07-08 06:38:58 status installed libgcrypt20:amd64 1.10.1-3+deb12u1
2026-07-08 06:38:58 startup archives unpack
2026-07-08 06:38:58 upgrade libgnutls30:amd64 3.7.9-2+deb12u6 3.7.9-2+deb12u7
2026-07-08 06:38:58 status half-configured libgnutls30:amd64 3.7.9-2+deb12u6
2026-07-08 06:38:58 status unpacked libgnutls30:amd64 3.7.9-2+deb12u6
2026-07-08 06:38:58 status half-installed libgnutls30:amd64 3.7.9-2+deb12u6
2026-07-08 06:38:59 status unpacked libgnutls30:amd64 3.7.9-2+deb12u7
2026-07-08 06:38:59 startup packages configure
2026-07-08 06:38:59 configure libgnutls30:amd64 3.7.9-2+deb12u7 <none>
2026-07-08 06:38:59 status unpacked libgnutls30:amd64 3.7.9-2+deb12u7
2026-07-08 06:38:59 status half-configured libgnutls30:amd64 3.7.9-2+deb12u7
2026-07-08 06:38:59 status installed libgnutls30:amd64 3.7.9-2+deb12u7
2026-07-08 06:38:59 startup archives unpack
2026-07-08 06:38:59 upgrade libsystemd0:amd64 252.39-1~deb12u1 252.39-1~deb12u2
